sec,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-4.964,5,-1,6,4,2,2,0,0
-4.96,6,4,2,-1,1,4,0,1
-4.956,0,6,-1,-9,-1,-7,2,0
-4.952,1,1,2,-5,0,0,0,0
-4.948,0,-2,-3,5,-1,7,-4,0
-4.944,-4,-1,-8,5,-2,-3,-3,0
-4.94,-3,1,6,-3,0,-6,1,0
-4.936,2,1,11,-3,0,5,1,-1
-4.932,3,3,-1,3,-1,8,0,0
-4.928,0,0,-10,3,1,-2,1,0
-4.924,0,-3,0,-3,3,-8,-2,0
-4.92,0,-1,2,-3,2,-4,0,0
-4.916,-1,3,0,0,1,3,1,0
-4.912,-1,-1,0,1,-1,9,0,0
-4.908,0,-1,2,-1,0,4,0,-1
-4.904,0,2,-2,-1,0,-9,0,0
-4.9,0,0,-2,0,2,-10,1,-1
-4.896,0,-3,0,5,0,2,-1,-2
-4.892,2,2,0,3,0,8,-1,1
-4.888,2,7,2,-4,1,2,0,2
-4.884,0,2,3,-5,0,-4,1,1
-4.88,-2,-1,-4,-2,0,-6,1,0
-4.876,-1,-1,-1,0,1,0,-1,-2
-4.872,1,-6,3,0,1,6,-1,0
-4.868,0,0,0,2,-1,1,-3,1
-4.864,1,9,-3,3,-3,-1,-2,0
-4.86,2,4,-1,-5,1,0,0,1
-4.856,0,-3,2,-3,3,1,1,1
-4.852,-2,-2,1,2,1,0,1,1
-4.848,-1,-1,-4,1,1,-1,0,0
-4.844,2,-3,-3,-3,1,0,-1,-1
-4.84,4,0,1,0,0,2,0,-2
-4.836,3,6,4,3,2,3,-2,0
-4.832,-2,1,3,-4,2,-1,1,0
-4.828,-4,0,-2,-2,0,-6,1,0
-4.824,3,0,-5,4,-2,1,0,1
-4.82,3,-1,-2,2,-1,5,0,1
-4.816,-1,-2,2,-5,-1,-1,1,-1
-4.812,-1,2,3,-1,0,-4,0,-1
-4.808,3,5,2,3,1,2,0,1
-4.804,5,-2,0,0,1,2,0,1
-4.8,0,-4,-1,-2,2,-5,-1,0
-4.796,-6,0,0,-3,0,-4,0,1
-4.792,-6,0,-2,-2,-1,3,0,-1
-4.788,-2,-1,-2,3,0,1,1,-2
-4.784,8,4,3,2,1,1,-1,0
-4.78,5,3,1,0,2,0,0,0
-4.776,-5,-3,-2,-2,-1,0,1,2
-4.772,-3,-4,1,-4,-2,-6,1,2
-4.768,5,-3,2,-3,1,-1,0,0
